ACC=0.684628, f1_macro=0.689968, precision_macro=0.694887, recall_macro=0.691536, f1_micro=0.684628, precision_micro=0.684628, recall_micro=0.684628, NMI=0.454400, ADJ_RAND_SCORE=0.416974
ACC=0.684628, f1_macro=0.689968, precision_macro=0.694887, recall_macro=0.691536, f1_micro=0.684628, precision_micro=0.684628, recall_micro=0.684628, NMI=0.454400, ADJ_RAND_SCORE=0.416974
ACC=0.684298, f1_macro=0.689665, precision_macro=0.694542, recall_macro=0.691202, f1_micro=0.684298, precision_micro=0.684298, recall_micro=0.684298, NMI=0.454236, ADJ_RAND_SCORE=0.416749
ACC=0.684298, f1_macro=0.689665, precision_macro=0.694542, recall_macro=0.691202, f1_micro=0.684298, precision_micro=0.684298, recall_micro=0.684298, NMI=0.454236, ADJ_RAND_SCORE=0.416749
ACC=0.685620, f1_macro=0.690949, precision_macro=0.696038, recall_macro=0.692537, f1_micro=0.685620, precision_micro=0.685620, recall_micro=0.685620, NMI=0.455560, ADJ_RAND_SCORE=0.417940
ACC=0.685620, f1_macro=0.690949, precision_macro=0.696038, recall_macro=0.692537, f1_micro=0.685620, precision_micro=0.685620, recall_micro=0.685620, NMI=0.455560, ADJ_RAND_SCORE=0.417940
ACC=0.685620, f1_macro=0.690949, precision_macro=0.696038, recall_macro=0.692537, f1_micro=0.685620, precision_micro=0.685620, recall_micro=0.685620, NMI=0.455560, ADJ_RAND_SCORE=0.417940
ACC=0.683967, f1_macro=0.689314, precision_macro=0.694417, recall_macro=0.690927, f1_micro=0.683967, precision_micro=0.683967, recall_micro=0.683967, NMI=0.455056, ADJ_RAND_SCORE=0.417182
ACC=0.675702, f1_macro=0.684120, precision_macro=0.691770, recall_macro=0.682170, f1_micro=0.675702, precision_micro=0.675702, recall_micro=0.675702, NMI=0.450555, ADJ_RAND_SCORE=0.401519
ACC=0.672066, f1_macro=0.681967, precision_macro=0.693317, recall_macro=0.678104, f1_micro=0.672066, precision_micro=0.672066, recall_micro=0.672066, NMI=0.436816, ADJ_RAND_SCORE=0.383658
